SESSIONE	FASCIA	SETTORE	BIBL?	ID CV	NUMERO DOI ESISTENTI	DOIS ESISTENTI	DOIS NON ESISTENTI	I1	I2	I3	SETTORE CONCORSUALE	SSD	S1	S2	S3
1	1	01-B1	B	36937	42	['10.1109/MISE.2012.6226018', '10.1109/ICDEW.2007.4401005', '10.1016/S0169-023X(14)00091-3', '10.1109/ICDE.2011.5767951', '10.1007/978-3-642-28323-9_10', '10.1007/978-3-642-41242-4_4', '10.1007/11687238_88', '10.1007/978-3-540-85654-2_63', '10.1145/1516360.1516458', '10.1007/11766254_20', '10.1016/j.procs.2014.05.515', '10.3233/IA-160091', '10.1007/978-3-662-45761-0', '10.4018/978-1-59904-228-2.ch003', '10.1007/978-3-642-28323-9_6', '10.1016/S0306-4379(03)00031-0', '10.4018/978-1-60566-308-1.ch004', '10.1109/ICDEW.2011.5767672', '10.1007/978-3-642-02982-0_21', '10.1007/978-3-662-46078-8_7', '10.1109/ICDEW.2011.5767649', '10.4018/978-1-59140-655-6.ch009', '10.1007/978-3-642-33074-2_10', '10.1109/DEXA.2008.128', '10.1109/TKDE.2012.247', '10.1007/978-3-319-11915-1_1', '10.1016/j.tcs.2014.04.023', '10.1145/1951365.1951387', '10.1007/s10115-016-0983-3', '10.1016/j.datak.2007.05.008', '10.1007/978-3-642-33999-8_8', '10.1007/978-3-540-75288-2_8', '10.1007/978-3-642-24577-0_18', '10.1007/978-3-642-17551-0_7', '10.1109/DEXA.2008.55', '10.1145/1097047.1097056', '10.1007/s10844-006-0023-y', '10.1145/2524828.2524835', '10.1109/ISORC.2002.1003653', '10.1109/TIME.2001.930689', '10.1109/TKDE.2004.1269596', '10.4018/978-1-61520-727-5.ch016']	['10.1007/11687238_78Document']	14	340	9	01/B1	-	8	216	8
1	1	01-B1	B	7944	49	['10.1007/978-3-642-30057-8_40', '10.1007/s10207-013-0200-2', '10.1007/3-540-44987-6_15', '10.1007/978-3-642-02384-2', '10.1016/j.tcs.2007.01.007', '10.1007/978-3-319-10879-7_29', '10.1145/237814.237845', '10.1007/978-3-319-44618-9_18', '10.1007/978-3-540-78440-1_7', '10.1007/978-3-662-44371-2_21', '10.1007/s10207-012-0185-2', '10.1016/j.tcs.2015.05.029', '10.1007/978-3-662-45608-8_11', '10.1007/11523468_25', '10.1109/BTAS.2010.5634527', '10.1145/1102199.1102213', '10.1007/s00145-006-0431-8', '10.1007/978-3-642-54631-0_31', '10.1007/978-3-642-20465-4_13', '10.1007/978-3-642-19379-8', '10.1007/11576259', '10.1007/b99099', '10.1007/978-3-642-36362-7', '10.1007/978-3-642-21554-4_15', '10.1007/978-3-642-01001-9', '10.1145/1653662.1653682', '10.1007/b95631', '10.1007/s00145-010-9060-3', '10.1007/978-3-642-12980-3', '10.1145/2810103.2813624', '10.1007/978-3-662-48000-7_13', '10.1145/1854229.1854270', '10.1007/11787006_26', '10.1007/978-3-642-36594-2_38', '10.1007/s00145-007-9006-6', '10.1109/TIT.2011.2112150', '10.1145/501983.502012', '10.1007/978-3-642-38348-9_21', '10.1007/978-3-540-78967-3_25', '10.1007/978-3-540-71677-8_15', '10.1007/11535218_13', '10.1007/11681878_7', '10.1007/b105124', '10.1007/b94617', '10.1007/s00145-002-0112-1', '10.1006/jcss.1999.1685', '10.1007/3-540-36178-2_19', '10.1007/s00145-013-9153-x', '10.1007/3-540-45539-6_14']	[]	10	1189	17	01/B1	-	8	216	8
1	1	01-B1	B	17568	50	['10.1007/978-3-642-22233-7_11', '10.1007/978-3-319-08245-5', '10.1007/978-3-319-38791-8_25', '10.1007/978-3-642-41533-3_45', '10.1145/2187980.2188083', '10.1007/3-540-28218-1_5', '10.1007/s11280-006-0014-5', '10.1145/1361348.1361359', '10.1007/978-3-642-27997-3', '10.1145/2735632', '10.1007/978-3-540-85200-1_8', '10.1109/MIC.2010.60', '10.1016/j.jvlc.2014.10.018', '10.1145/1149993.1150005', '10.1007/978-3-319-03737-0', '10.1109/TKDE.2008.134', '10.1007/978-3-642-22233-7_10', '10.1145/1189740.1189742', '10.1109/3468.995532', '10.1207/S15327590IJHC1503_01', '10.1145/2320765.2320776', '10.1007/978-3-642-38706-7_5', '10.1007/978-3-642-24606-7_18', '10.1007/978-3-642-39200-9_43', '10.1109/ICDEW.2011.5767634', '10.1145/2499149.2499173', '10.1109/RSSE.2012.6233411', '10.1007/s11280-007-0025-x', '10.1109/MIC.2007.74', '10.1145/2254129.2254170', '10.1145/2909132.2926082', '10.1145/2598153.2598201', '10.1145/2957265.2962650', '10.1007/978-3-319-18425-8_33', '10.1007/978-3-319-18425-8_22', '10.1007/978-3-642-21530-8_3', '10.1109/QUATIC.2012.28', '10.1007/978-3-642-19802-1_32', '10.1007/b12013', '10.1007/978-3-319-39510-4_37', '10.1145/2372251.2372278', '10.1109/93.923955', '10.1007/11899402_9', '10.1109/WISEW.2003.1286806', '10.1007/978-3-642-22233-7_27', '10.1109/MITP.2011.85', '10.1007/s00779-004-0329-0', '10.1145/1242572.1242697', '10.1007/978-3-319-19890-3_49', '10.1016/j.jvlc.2014.01.003']	['10.1007/978-3-319-28727-05']	20	1145	17	01/B1	-	8	216	8
1	1	01-B1	B	38480	29	['10.3233/SW-130106', '10.1007/978-3-319-07467-2_9', '10.1007/978-3-319-18818-8_3', '10.1007/978-3-642-10291-2_30', '10.1109/IV.2010.47', '10.1007/11779568_106', '10.5220/0004545702450252', '10.1109/ICSC.2012.61', '10.1504/IJMSO.2012.048511', '10.2495/DATA060431', '10.1007/978-3-319-25639-9_29', '10.3233/SW-130128', '10.4018/978-1-4666-0188-8.ch003', '10.4018/978-1-4666-0188-8', '10.1007/978-3-540-72667-8_56', '10.1016/S2095-3119(12)60060-4', '10.3233/978-1-60750-082-7-156', '10.1007/978-3-642-10291-2_5', '10.1002/isaf.1362', '10.3233/SW-2011-0033', '10.1007/978-3-642-14000-6_6', '10.1147/JRD.2014.2307518', '10.1007/978-3-642-24731-6_48', '10.1007/978-3-319-19066-2_13', '10.1007/11762256_33', '10.1007/978-3-319-18818-8_20', '10.1109/HPCSim.2014.6903704', '10.1007/978-3-642-33618-8_58', '10.1007/978-3-540-85567-5_33']	[]	11	228	8	01/B1	-	8	216	8
1	1	01-B1	B	5083	85	['10.1117/12.907455', '10.1007/978-3-642-41181-6_43', '10.1007/978-3-319-27926-8', '10.1109/ICIP.2010.5649987', '10.1016/j.cviu.2016.09.001', '10.1117/12.805639', '10.1007/978-3-642-44907-9', '10.1109/ICCE.2013.6487033', '10.1016/j.compbiomed.2016.07.006', '10.1117/12.708204', '10.1007/s11042-015-2523-7', '10.1007/978-3-319-25903-1_40', '10.1007/978-3-319-25903-1_64', '10.1155/2010/909043', '10.1007/978-3-319-23222-5_47', '10.2312/LocalChapterEvents/ItalianChapConf2006/255-261', '10.1007/978-1-4471-5520-1', '10.1109/ICIP.2014.7026055', '10.1109/ICPR.2008.4807033', '10.1007/978-3-540-71457-6_52', '10.1109/ICIP.2008.4712310', '10.1007/978-3-642-30621-1_12', '10.1109/THMS.2016.2612002', '10.1007/978-3-319-27926-8_30', '10.1109/TIFS.2012.2194285', '10.1007/978-3-642-33885-4_75', '10.1117/12.2007578', '10.1155/2010/919367', '10.1007/978-3-319-23234-8_20', '10.1007/978-3-319-16199-0_56', '10.1007/978-3-642-41181-6_39', '10.1145/2911996.2912024', '10.1007/978-3-642-20404-3_11', '10.1007/s11042-013-1470-4', '10.1016/j.eswa.2015.05.055', '10.1117/1.2816445', '10.1145/1877972.1877991', '10.2312/LocalChapterEvents/ItalianChapConf2006/015-021', '10.1049/iet-cvi.2010.0056', '10.1109/ICIP.2014.7026149', '10.1007/978-3-642-28661-2', '10.1145/2072298.2071985', '10.3390/s8095897', '10.1007/978-3-540-89689-0_18', '10.1007/978-3-642-12848-6', '10.1109/ICCVW.2015.59', '10.1016/j.cviu.2016.05.010', '10.1007/s10044-009-0145-2', '10.1007/978-3-319-23117-4_52', '10.2312/LocalChapterEvents/ItalianChapConf2006/129-135', '10.1111/j.1467-8659.2007.01021.x', '10.1109/ICPR.2010.1024', '10.2312/LocalChapterEvents/ItalianChapConf2006/143-149', '10.1016/j.patcog.2014.05.014', '10.1007/978-3-319-16199-0_27', '10.1007/978-3-319-25903-1_7', '10.5220/0005297000760083', '10.1007/978-3-319-16199-0_41', '10.3390/s130202515', '10.2312/LocalChapterEvents/ItalianChapConf2006/263-266', '10.1007/978-3-319-12811-5_3', '10.4028/www.scientific.net/AMM.392.799', '10.3168/jds.2010-3467', '10.1007/978-3-540-92892-8_35', '10.1109/TIP.2016.2627816', '10.1145/2733373.2806311', '10.1117/12.641655', '10.1016/j.patcog.2015.10.021', '10.1016/j.bjps.2006.11.016', '10.1109/MEMEA.2009.5167973', '10.1007/11758525_44', '10.1117/12.2083031', '10.1007/s11042-008-0250-z', '10.1145/2072521.2072527', '10.1007/978-3-319-23222-5_46', '10.1109/ICMEW.2015.7169756', '10.1109/ICMEW.2015.7169755', '10.1109/ICIP.2015.7351404', '10.1007/11866565', '10.1007/978-3-319-25903-1_72', '10.1109/AEIT.2013.6666804', '10.1007/978-3-642-24085-0_49', '10.2312/LocalChapterEvents/ItalChap/ItalianChapConf2008/043-048', '10.1145/2964284.2980535', '10.1109/TIP.2014.2312649']	['10.1109/ICME.2011.601216']	23	502	12	01/B1	-	8	216	8
1	1	01-B1	B	37433	35	['10.1016/j.patrec.2009.05.020', '10.1007/978-3-319-25751-8_18', '10.1007/s003710000091', '10.3390/s131217445', '10.1016/j.patcog.2005.06.008', '10.1007/978-3-642-25766-7_95', '10.1016/j.cviu.2014.04.006', '10.1109/TBME.2012.2217496', '10.1016/j.cmpb.2016.02.005', '10.1109/TPAMI.2003.1240121', '10.1006/cviu.2001.0918', '10.1007/978-3-642-33275-3_7', '10.1016/S1076-5670(05)39001-X', '10.1142/S0218001415560017', '10.1016/j.ejwf.2013.12.002', '10.1007/s00371-013-0884-3', '10.1007/978-3-642-25792-6_114', '10.1109/MITP.2013.54', '10.1016/j.cviu.2006.12.003', '10.1109/BTAS.2014.6996230', '10.1007/978-3-642-13772-3_43', '10.1109/FG.2015.7163159', '10.1109/RTSI.2015.7325122', '10.1007/978-3-642-10268-4_83', '10.1016/j.patcog.2010.11.010', '10.3390/s121217504', '10.1016/j.compmedimag.2014.12.005', '10.3390/s16060813', '10.1016/j.patcog.2008.05.001', '10.1016/j.patcog.2013.09.024', '10.1007/978-3-662-44485-6', '10.1109/ROBIO.2006.340199', '10.1109/VECIMS.2009.5068911', '10.1016/j.entcom.2016.04.001', '10.1109/TPAMI.2004.130']	[]	20	180	9	01/B1	-	8	216	8
1	1	01-B1	B	294	14	['10.1016/j.is.2015.07.005', '10.1016/j.is.2011.12.002', '10.1016/j.datak.2011.03.003', '10.1007/s13740-016-0063-6', '10.1155/2015/439020', '10.4018/978-1-4666-0188-8', '10.1007/978-3-319-27932-9_5', '10.1007/978-3-662-49521-6_2', '10.5220/0005865402070214', '10.1007/978-3-319-27932-9_9', '10.1007/978-3-319-27932-9_2', '10.1007/978-3-662-49521-6_1', '10.1145/1989323.1989383', '10.1016/j.is.2010.09.003']	[]	15	446	12	01/B1	-	8	216	8
1	1	01-B1	B	24287	47	['10.1007/978-3-662-46562-2', '10.1007/978-3-642-54426-2_5', '10.1007/978-3-642-39200-9_46', '10.1109/DEXA.2010.48', '10.1145/1141277.1141681', '10.1007/b13474', '10.1109/TSC.2013.26', '10.1504/IJMSO.2010.034046', '10.1016/j.is.2005.02.010', '10.1007/s11280-009-0080-6', '10.1109/DEXA.2005.49', '10.1007/s11280-007-0040-y', '10.1007/978-3-642-31753-8_6', '10.1145/1497308.1497382', '10.1007/978-3-642-17505-3_8', '10.1016/j.compind.2014.07.009', '10.1108/IJWIS-04-2016-0022', '10.1007/978-3-642-24574-9_6', '10.1145/1871437.1871608', '10.1109/ECOWS.2009.21', '10.1007/978-3-662-45714-6_3', '10.1109/DEXA.2006.83', '10.1007/978-3-642-14415-8_3', '10.1007/978-3-642-38709-8_23', '10.1007/978-3-319-10073-9_30', '10.1109/DEXA.2004.134', '10.1109/DEXA.2012.25', '10.1109/ICDEW.2006.134', '10.1109/DEXA.2011.7', '10.1007/s10844-010-0125-4', '10.1007/978-3-642-02144-2_28', '10.1007/978-3-7908-2789-7_12', '10.1145/2076623.2076650', '10.1007/978-3-540-85481-4_23', '10.1109/ICWS.2016.98', '10.1007/978-3-319-11749-2_17', '10.1007/978-3-7908-2148-2_25', '10.1007/978-3-7908-2010-2_42', '10.1007/978-3-642-24933-4_11', '10.1145/1967486.1967527', '10.1109/DEXA.2013.20', '10.1007/s10844-015-0369-0', '10.1007/978-3-7908-2632-6_24', '10.1007/978-3-642-35623-0_14', '10.1109/DEXA.2003.1232086', '10.1007/978-3-662-45563-0_21', '10.1016/j.csi.2016.10.010']	[]	13	498	13	01/B1	-	8	216	8
1	1	01-B1	B	37293	48	['10.1109/MPRV.2010.34', '10.1109/BWCCA.2011.14', '10.1109/CAMP.2005.44', '10.1109/ICIS.2007.197', '10.1109/CISIS.2012.128', '10.1109/CISIS.2008.133', '10.1007/3-540-45808-5_10', '10.1109/TC.2012.225', '10.1109/PERSER.2007.4283923', '10.1016/j.jpdc.2004.06.013', '10.3233/MIS-2009-0077', '10.1109/DSD.2015.44', '10.1109/CISIS.2009.221', '10.1109/CISIS.2013.108', '10.1109/CISIS.2008.129', '10.1109/CISIS.2013.168', '10.1109/CISIS.2011.55', '10.1109/CISIS.2009.168', '10.1109/DSD.2008.91', '10.1109/CISIS.2011.99', '10.1109/CISIS.2009.151', '10.1109/AINA.2011.77', '10.1109/HSI.2009.5091039', '10.1109/TC.2014.2315652', '10.1145/2800835.2807958', '10.1109/BWCCA.2012.60', '10.1109/CVPR.2007.383418', '10.1145/2909132.2909282', '10.1109/PERSER.2007.4283926', '10.1109/MDT.2012.2206150', '10.1007/11731177_21', '10.1007/978-3-540-76888-3_67', '10.1007/s00006-016-0662-1', '10.1109/CISIS.2010.142', '10.1109/ICSC.2012.41', '10.1109/BWCCA.2013.60', '10.1016/j.vlsi.2008.09.010', '10.1007/11558590_48', '10.1109/TC.2004.48', '10.1109/CISIS.2010.139', '10.1109/IPC.2007.9', '10.1109/DSD.2007.4341505', '10.1109/CISIS.2013.29', '10.1007/s00006-010-0258-0', '10.1007/978-3-319-20916-6_3', '10.1007/1-4020-3432-6_18', '10.1109/DSD.2012.2', '10.1007/978-3-642-10291-2_46']	['10.1109/DSD.2014']	16	319	10	01/B1	-	8	216	8
1	1	01-B1	B	37089	34	['10.1117/12.907455', '10.1145/1873951.1874289', '10.1109/TIFS.2012.2194285', '10.1007/978-3-642-02282-1_34', '10.1109/TIFS.2014.2330312', '10.1109/TMM.2010.2060474', '10.1117/12.2038239', '10.1007/11758525_44', '10.1145/2072521.2072527', '10.1109/ICMEW.2015.7169755', '10.1155/2013/908905', '10.1109/ICIAP.2007.4362878', '10.1109/TCSVT.2011.2162689', '10.1109/ICIP.2011.6116630', '10.1109/TCE.2008.4560078', '10.1007/978-3-642-33863-2_60', '10.1007/978-3-319-25903-1_7', '10.1007/s11042-013-1470-4', '10.1016/j.eswa.2015.05.055', '10.1109/CVPRW.2011.5981882', '10.1145/1877972.1877991', '10.1109/ICIP.2010.5651514', '10.1007/s11042-015-2523-7', '10.1109/ICME.2011.6012160', '10.1109/ICME.2008.4607449', '10.1007/978-3-540-79860-6_17', '10.1117/12.872408', '10.3168/jds.2010-3467', '10.1145/2700422', '10.1007/978-3-642-41181-6_79', '10.1109/TIP.2014.2312649', '10.1109/ICPR.2008.4761562', '10.1007/978-3-540-69387-1_9', '10.1145/2072298.2071985']	[]	12	442	9	01/B1	-	8	216	8
