SC/SSD	SETTORE CONCORSUALE	Numero articoli 10 anni	Numero citazioni 15 anni	Indice H 15 anni	Numero articoli 5 anni	Numero citazioni 10 anni	Indice H 10 anni
01/A1	LOGICA MATEMATICA E MATEMATICHE COMPLEMENTARI	9	48	4	5	36	3
01/A1-MAT/04	LOGICA MATEMATICA E MATEMATICHE COMPLEMENTARI	2	2	1	1	2	0
01/A2	GEOMETRIA E ALGEBRA	8	29	4	4	15	2
01/A2-MAT/02	GEOMETRIA E ALGEBRA	--	--	--	3	10	2
01/A3	ANALISI MATEMATICA, PROBABILITÀ E STATISTICA MATEMATICA	10	83	5	7	40	4
01/A3-MAT/06	ANALISI MATEMATICA, PROBABILITÀ E STATISTICA MATEMATICA	--	--	--	6	39	3
01/A4	FISICA MATEMATICA	14	120	6	6	45	5
01/A5	ANALISI NUMERICA	11	110	7	7	60	4
01/A6	RICERCA OPERATIVA	16	192	7	7	70	5
01/B1	INFORMATICA	8	216	8	5	118	6
02/A1	FISICA SPERIMENTALE DELLE INTERAZIONI FONDAMENTALI	82	3800	30	51	1250	18
02/A1-FIS/04	FISICA SPERIMENTALE DELLE INTERAZIONI FONDAMENTALI	61	1831	22	17	370	11
02/A2	FISICA TEORICA DELLE INTERAZIONI FONDAMENTALI	21	493	13	13	329	10
02/B1	FISICA SPERIMENTALE DELLA MATERIA	33	625	14	13	270	9
02/B2	FISICA TEORICA DELLA MATERIA	31	894	15	15	300	9
02/C1	ASTRONOMIA, ASTROFISICA, FISICA DELLA TERRA E DEI PIANETI	43	1161	19	25	620	15
02/C1-FIS/06	ASTRONOMIA, ASTROFISICA, FISICA DELLA TERRA E DEI PIANETI	22	235	10	10	140	7
02/D1	FISICA APPLICATA, DIDATTICA E STORIA DELLA FISICA	29	535	13	12	210	7
02/D1-FIS/08	FISICA APPLICATA, DIDATTICA E STORIA DELLA FISICA	3	12	3	2	3	1
03/A1	CHIMICA ANALITICA	26	615	14	16	260	10
03/A2	MODELLI E METODOLOGIE PER LE SCIENZE CHIMICHE	34	752	16	16	290	10
03/B1	FONDAMENTI DELLE SCIENZE CHIMICHE E SISTEMI INORGANICI	28	732	15	14	359	10
03/B2	FONDAMENTI CHIMICI DELLE TECNOLOGIE	29	560	13	14	269	10
03/C1	CHIMICA ORGANICA	31	816	17	15	305	10
03/C2	CHIMICA INDUSTRIALE	30	853	17	14	255	10
03/D1	"CHIMICA E TECNOLOGIE FARMACEUTICHE, TOSSICOLOGICHE E
NUTRACEUTICO-ALIMENTARI"	27	586	14	17	235	9
03/D2	TECNOLOGIA, SOCIOECONOMIA E NORMATIVA DEI MEDICINALI	26	757	15	15	251	9
04/A1	"GEOCHIMICA, MINERALOGIA, PETROLOGIA, VULCANOLOGIA, GEORISORSE ED
APPLICAZIONI"	24	457	12	9	90	6
04/A1-GEO/09	"GEOCHIMICA, MINERALOGIA, PETROLOGIA, VULCANOLOGIA, GEORISORSE ED
APPLICAZIONI"	18	191	8	8	77	5
04/A2	"GEOLOGIA STRUTTURALE, GEOLOGIA STRATIGRAFICA, SEDIMENTOLOGIA E
PALEONTOLOGIA"	15	265	8	10	140	7
04/A3	GEOLOGIA APPLICATA, GEOGRAFIA FISICA E GEOMORFOLOGIA	11	88	5	7	78	4
04/A4	GEOFISICA	16	390	10	9	140	7
04/A4-GEO/11	GEOFISICA	7	107	6	4	70	5
05/A1	BOTANICA	17	302	9	11	130	5
05/A1-BIO/02	BOTANICA	16	210	6	--	--	--
